"category","English_label","original_French_label"
"Anthropophony","Car alarm","Alarme"
"Anthropophony","Camera","Appareil photo"
"Anthropophony","Applause","Applaudissement"
"Anthropophony","Sprinkler","Arroseur"
"Anthropophony","Plane","Avion"
"Anthropophony","Ship","Bâteau"
"Anthropophony","Baby","Bébé"
"Anthropophony","Bip","Bip"
"Anthropophony","Digital bug","Bug informatique"
"Anthropophony","Truck","Camion"
"Anthropophony","Song","Chanson"
"Anthropophony","Collision","Choc"
"Anthropophony","Keys","Clefs"
"Anthropophony","Bell","Cloche"
"Anthropophony","Cowbell","Cloche_v"
"Anthropophony","Scream","Cris"
"Anthropophony","Human movement","Déplacement"
"Anthropophony","Grinder","Disqueuse"
"Anthropophony","Construction machine","Engin_c"
"Anthropophony","Sneeze","Eternuement"
"Anthropophony","Window","Fenêtre"
"Anthropophony","Zip","Fermeture_e"
"Anthropophony","Brake","Frein"
"Anthropophony","Gurgling noise","Gargouillement"
"Anthropophony","Helicopter","Hélicoptère"
"Anthropophony","Undetermined","Indéterminé"
"Anthropophony","Horn","Klaxon"
"Anthropophony","Microphone","Micro"
"Anthropophony","Harvester","Moissonneuse"
"Anthropophony","Engine","Moteur"
"Anthropophony","Motorbike","Moto"
"Anthropophony","Music","Musique"
"Anthropophony","Unidentified sound","Non identifié"
"Anthropophony","Step","Pas"
"Anthropophony","Door","Porte"
"Anthropophony","Scraping","Raclement"
"Anthropophony","Radar","Radar"
"Anthropophony","Radio","Radio"
"Anthropophony","Sniffing","Reniflement"
"Anthropophony","Breath","Respiration"
"Anthropophony","Laughter","Rire"
"Anthropophony","Electric saw","Scie_e"
"Anthropophony","Scooter","Scooter"
"Anthropophony","Whistle","Sifflement"
"Anthropophony","Microphone whistling","Sifflement_m"
"Anthropophony","Alarm","Sirène"
"Anthropophony","Phone ring","Sonnerie"
"Anthropophony","Gunshot","Tir"
"Anthropophony","Coughing","Toux"
"Anthropophony","Tractor","Tracteur"
"Anthropophony","Train","Train"
"Anthropophony","Construction noise","Travaux"
"Anthropophony","Chainsaw","Tronçonneuse"
"Anthropophony","Bike","Vélo"
"Anthropophony","Ventilation","Ventilation"
"Anthropophony","Car","Voiture"
"Anthropophony","Voice","Voix"
"Anthropophony","Shutter","Volet"
"Geophony","Branch","Branche"
"Geophony","Waterfall","Cascade"
"Geophony","Water","Eau"
"Geophony","Leaves","Feuilles"
"Geophony","Water drop","Goutte"
"Geophony","Hail","Grêle"
"Geophony","Creaking","Grincement"
"Geophony","Storm","Orage"
"Geophony","Rain","Pluie"
"Geophony","Water stream","Ruisseau"
"Geophony","Torrent","Torrent"
"Geophony","Wave","Vague"
"Geophony","Wind","Vent"
